股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600938,N中海油,13.79,+2.99,+27.69%,27.69%,882277284,12124020797.16,59.1%,9.265,,651542418019
SH601012,隆基股份,62.58,-4.22,-6.32%,-27.4%,85058616,5436471737.86,1.57%,34.737,0.285%,338742580467
SH600519,贵州茅台,1779.98,-17.02,-0.95%,-13.17%,2895261,5160788004.08,0.23%,42.623,1.218%,2236006960044
SH600036,招商银行,41.28,+0.18,+0.44%,-15.25%,114350098,4747988004.46,0.55%,8.681,3.687%,1041075226409
SH600062,华润双鹤,23.9,+1.03,+4.5%,78.76%,149468752,3523221482.97,14.57%,26.647,2.008%,24933381269
SH600313,农发种业,9.72,-1.08,-10%,84.09%,322056382,3398359220.86,31.59%,191.628,,10518971004
SH600096,云天化,24.64,-2.74,-10.01%,25.59%,122484381,3128887032.35,7.14%,9.599,,45236409458
SH601318,中国平安,46.22,+0.31,+0.68%,-8.31%,54904356,2554919426.49,0.51%,8.315,5.149%,844912757970
SH603259,药明康德,96.62,-4.25,-4.21%,-18.52%,25444047,2497264499.56,1%,56.029,0.535%,285590940857
SH600111,北方稀土,32.31,-1.59,-4.69%,-29.45%,71015992,2348725747.17,1.95%,22.882,1.377%,117384362460
SH601888,中国中免,175.16,-7.1,-3.9%,-20.17%,12306425,2175255750.98,0.63%,29.825,0.571%,341995616287
SH601985,中国核电,7.39,-0.49,-6.22%,-10.96%,282439477,2132013053.67,1.53%,18.606,1.629%,139293594296
SH601899,紫金矿业,11.01,-0.43,-3.76%,13.51%,188969162,2105839855.53,0.92%,15.031,1.817%,289885727762
SH600141,兴发集团,33.14,-2.8,-7.79%,-12.51%,61552143,2096881938.2,6.31%,8.676,1.509%,36842555332
SH601696,中银证券,13.81,+0.54,+4.07%,2.68%,147660026,2019238652.65,10.17%,39.895,0.261%,38364180000
SH601166,兴业银行,21.13,-0.13,-0.61%,10.98%,91294460,1947659208.26,0.44%,5.309,4.898%,438958650569
SH600508,上海能源,15.63,-0.47,-2.92%,38.44%,116921072,1940650038.87,16.18%,30.257,0.992%,11296082340
SH600056,中国医药,21.92,-0.68,-3.01%,85.61%,85712087,1912510720.33,8.02%,25.789,1.679%,23421202905
SH603229,奥翔药业,72.35,+6.24,+9.44%,98.71%,25086986,1782675764.43,8.85%,120.202,0.141%,20767897188
SH600438,通威股份,37.44,-1.74,-4.44%,-16.73%,46527048,1764547134.58,1.03%,27.096,0.644%,168537964009
SH600048,保利发展,17.51,+0.08,+0.46%,12.03%,96725458,1693446859.5,0.81%,7.653,3.312%,209599667447
SH600031,三一重工,16.72,-0.66,-3.8%,-26.67%,99949593,1693361943.61,1.18%,9.135,3.585%,142007742271
SH600030,中信证券,19.84,-0.07,-0.35%,-20.32%,83654466,1670154355.14,0.74%,12.729,2.722%,294039649087
SH601990,南京证券,9.37,+0.6,+6.84%,-5.45%,178047727,1669674720.93,4.92%,35.337,1.387%,34541202889
SH600887,伊利股份,38.43,-0.4,-1.03%,-7.31%,42246737,1631565608.17,0.71%,27.334,2.028%,245957031179
SH600196,复星医药,41.9,-1.76,-4.03%,-14.38%,37660616,1604614663.49,1.87%,22.678,1.337%,107385449036
